+-----+-----------------------------+-----------------------+--------------+----------------------------------------------------+-----------------------+-------------------+-------------------+----------+-------------------------+-------------------------+
| Lp. |            Title            |       Equations       | Observations |               All minimal conflicts                | All minimal diagnosis | Minimal conflicts | Minimal diagnosis | MSO -GPT | Minimal conflicts - GPT | Minimal diagnosis - GPT |
|     |                             |                       |              |                                                    |      O1, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O3, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O3, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O4, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O4, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O5, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O5, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O5, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O6, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O1, O8, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O3, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O3, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O3, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O4, O5       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O4, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O4, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O5, O6       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O5, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O5, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O5, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O6, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O7, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O2, O8, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O3, O5, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O3, O6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O3, O7, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O4, O5, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O4, O6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O4, O7, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O5, O6, O7       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O5, O7, O8       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O5, O7, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O6, O7, O9       |                   |                   |          |                         |                         |
|     |                             |                       |              |                                                    |      O7, O8, O9       |                   |                   |          |                         |                         |
| 21  |         Example 20          |  M1: a * b * c = x01  |    a = 1     |                     A1, M1, M2                     |        A1, M2         |                   |                   |          |                         |                         |
|     |                             |  M2: c * d * e = x02  |    b = 1     |                     M2, M3, M4                     |        A1, M3         |                   |                   |          |                         |                         |
|     |                             |  M3: e * f * g = x03  |    c = 1     |                   A1, M1, M3, M4                   |        A1, M4         |                   |                   |          |                         |                         |
|     |                             | A1: a + x01 + x02 = h |    d = 1     |                                                    |        M1, M2         |                   |                   |          |                         |                         |
|     |                             | M4: g * x02 * x03 = i |    e = 1     |                                                    |        M1, M3         |                   |                   |          |                         |                         |
|     |                             |                       |    f = 1     |                                                    |        M1, M4         |                   |                   |          |                         |                         |
|     |                             |                       |    g = 1     |                                                    |        M2, M3         |                   |                   |          |                         |                         |
|     |                             |                       |    h = 3     |                                                    |        M2, M4         |                   |                   |          |                         |                         |
|     |                             |                       |    i = 1     |                                                    |                       |                   |                   |          |                         |                         |
| 22  |         Example 21          |  O1: a | b | c = x01  |    a = 1     |                     A1, O1, O2                     |        A1, O2         |                   |                   |          |                         |                         |
|     |                             |  O2: c | d | e = x02  |    b = 1     |                     O2, O3, O4                     |        A1, O3         |                   |                   |          |                         |                         |
|     |                             |  O3: e | f | g = x03  |    c = 1     |                   A1, O1, O3, O4                   |        A1, O4         |                   |                   |          |                         |                         |
|     |                             | A1: a & x01 & x02 = h |    d = 1     |                                                    |        O1, O2         |                   |                   |          |                         |                         |
|     |                             | O4: g | x02 | x03 = i |    e = 1     |                                                    |        O1, O3         |                   |                   |          |                         |                         |
|     |                             |                       |    f = 1     |                                                    |        O1, O4         |                   |                   |          |                         |                         |
|     |                             |                       |    g = 1     |                                                    |        O2, O3         |                   |                   |          |                         |                         |
|     |                             |                       |    h = 1     |                                                    |        O2, O4         |                   |                   |          |                         |                         |
|     |                             |                       |    i = 1     |                                                    |                       |                   |                   |          |                         |                         |
| 23  |   Example 22 xor nor nand   |   NA1: a ~& b = x01   |    a = 1     |                   NA1, NO2, NX1                    |          NA1          |                   |                   |          |                         |                         |
|     |                             |   NO2: c ~| d = x02   |    b = 1     |                                                    |          NO2          |                   |                   |          |                         |                         |
|     |                             |  NX1: x01 ~^ x02 = e  |    c = 1     |                                                    |          NX1          |                   |                   |          |                         |                         |
|     |                             |                       |    d = 1     |                                                    |                       |                   |                   |          |                         |                         |
|     |                             |                       |    e = 1     |                                                    |                       |                   |                   |          |                         |                         |
+-----+-----------------------------+-----------------------+--------------+----------------------------------------------------+-----------------------+-------------------+-------------------+----------+-------------------------+-------------------------+
